cellType,Markers
WAM,Lpl,Lyz2,Ctsb,Cd63,Mif,Uba52,Npc2,Ccl6,Apoc1,Ftl1,Ctsl,Gnas,Ctsz
Cell_Cycle,Top2a,Mki67,Cenpe,Mcm5,Birc2,H2afz,H2afv
DAM,Trem2,Cd9,Tyrobp,Cd74,Apoe,Spp1,Serpine1,Baiap2l2,Cox6a2,Psat1,Capg,Lgi2,Nceh1,Fxyd5,Apbb2,Cadm1,Sulf2,Kcnj2,Myo1e,Scpep1,Cd34,Slamf9,Crlf2,Bcl2a1b,Serpine2,Echs1,Rpl36a-ps1,Scd2,Naglu,Mt1,Ssr4,Atp6v0c,Gm5244,Hif1a
IRM,Bst2,B2m,Rps28,Rps29,Rpl41,Ch25h,Gm10076,H2-Q7,Tspo,Cd72,Rpl32,Rpl10a,Rpl37a,Rpl38,Rps19,Rpl36,Rpl35,Rpl39,Rps16,Rps26,Rpl37,Rps18,Rps20,Ly6e,Rps24,Fau,Rps12,Ly6a,Rpl19,Rps15a,Rps27a,Rpl24,Grn,Rpsa,Rps27rt,Rps27,Rpl12,Rpl26,Rps2,Wdr89,Rpl28,Rps21,Rpl35a,Rplp2,Rpl22l1,Gm2000,Rps11,Rpl36a,H2-Q4,Rpl29,Rps5,Rpl31,Rps25,Rps8,Rps15,Rpl27a,Rps10,Rpl34,Rps14,Rplp0,Rps13,Rpl18a,Rps23,Rpl9,Rpl21,Rpl17,Rpl22,Rps7,Psme1,Tpt1,Rpl15,Rpl27,Rps6,Rpl7a,Rps17,Rpl13a,Gapdh,Rpl6,Rpl30,Rpl13,Rpl23a,Rpl18
ATM,Gpnmb,Lgals3,Fabp5,Ccl9,Anxa5,Gm1673,Anxa2,Lag3,S100a1,Fabp3,Plin2,Cstb,Plaur,Vat1,Gng12,Pkm,Hpse,Ldha,Atp6v0d2,Gpr137b,Tpi1,Adssl1,Cd68,Aig1,Ybx1,Slc16a3,Ctsa,Bnip3,Pgk1,Timp2,Eno1b,Crip1,Creg1,Psmb6,Gatm,Aprt,Uap1l1,Chchd10,Plek,Npl,Ctsd,Atp1a1,Eno1,Clta,Gpi1,Cyba,Vps29,Edem1,Dtnbp1,Glmp,Spcs2,Gabarap,Bri3,Akr1a1,Alas1,Lmo2,Degs1
CAM,Pf4,Ms4a7,Cd28,Slpi,Gpx3,Folr2,Tmem106a,Lgals1,Dab2,Emp3,Ifitm2,Sh3bgrl,C3ar1,Lilrb4a
IFM,Ifit1,Ifit2,Isg15,Ifitm3,Il1b,Ccl3,Tor3a,Ccl5,Trim30a,Fcgr4,Phf11b,Phf11d,Stat1,Ccl12,Cxcl10,Fgl2,Zbp1,Cxcl13,Tap1,Ifi204,Parp14,Ifi27l2a,Usp18,Stat2,Ccl2,Gm4951,Ms4a4c,Oas1a,Ifit3b,Oasl2,Ifit3,Irf7,Sp100,Rtp4,Slfn2,Rsad2,Xaf1
PGM,Lamp1,Lamp2
HSM,P2ry12,P2ry13,Hexb,Selplg,Tmem119,Cx3cr1
SAM,Cdkn2a,Cdkn1a,Cdkn2d,Casp8,Glb1
