"";"genes"
"Metap1";"Metap1"
"Eif4e";"Eif4e"
"Tspan5";"Tspan5"
"Rap1gds1";"Rap1gds1"
"Stpg2";"Stpg2"
"Unc5c";"Unc5c"
"Bmpr1b";"Bmpr1b"
"Pdlim5";"Pdlim5"
"Gbp5";"Gbp5"
"Gbp7";"Gbp7"
"Gbp3";"Gbp3"
"Gbp2";"Gbp2"
"Kyat3";"Kyat3"
"Gtf2b";"Gtf2b"
"Pkn2";"Pkn2"
"Gm43646";"Gm43646"
"9530052C20Rik";"9530052C20Rik"
"Lmo4";"Lmo4"
"Gm43445";"Gm43445"
"Hs2st1";"Hs2st1"
"Gm43707";"Gm43707"
"Gm43560";"Gm43560"
"Selenof";"Selenof"
"Sh3glb1";"Sh3glb1"
"Clca3a1";"Clca3a1"
"Clca4b";"Clca4b"
"Odf2l";"Odf2l"
"Znhit6";"Znhit6"
"Ccn1";"Ccn1"
"Ddah1";"Ddah1"
"Bcl10";"Bcl10"
"2410004B18Rik";"2410004B18Rik"
"Syde2";"Syde2"
"Wdr63";"Wdr63"
"Mcoln3";"Mcoln3"
"Mcoln2";"Mcoln2"
"Lpar3";"Lpar3"
"Ssx2ip";"Ssx2ip"
"Ctbs";"Ctbs"
"Spata1";"Spata1"
"Gng5";"Gng5"
"Rpf1";"Rpf1"
"Samd13";"Samd13"
"Prkacb";"Prkacb"
"Gm36888";"Gm36888"
"Adgrl2";"Adgrl2"
"Gm43573";"Gm43573"
"Gm30382";"Gm30382"
"Gm5149";"Gm5149"
"Adgrl4";"Adgrl4"
"Ifi44";"Ifi44"
"Gipc2";"Gipc2"
"Dnajb4";"Dnajb4"
"Fubp1";"Fubp1"
"Nexn";"Nexn"
"Miga1";"Miga1"
"Usp33";"Usp33"
"Zzz3";"Zzz3"
"Ak5";"Ak5"
"Pigk";"Pigk"
"St6galnac5";"St6galnac5"
"St6galnac3";"St6galnac3"
"Msh4";"Msh4"
"Rabggtb";"Rabggtb"
"Acadm";"Acadm"
"Slc44a5";"Slc44a5"
"Tyw3";"Tyw3"
"Cryz";"Cryz"
"Erich3";"Erich3"
"Tnni3k";"Tnni3k"
"Fpgt";"Fpgt"
"Lrriq3";"Lrriq3"
"4930570G19Rik";"4930570G19Rik"
"Negr1";"Negr1"
"4930592C13Rik";"4930592C13Rik"
"Zranb2";"Zranb2"
"Ptger3";"Ptger3"
"Cth";"Cth"
"Ankrd13c";"Ankrd13c"
"Srsf11";"Srsf11"
"Lrrc40";"Lrrc40"
"B230334C09Rik";"B230334C09Rik"
"Lrrc7";"Lrrc7"
"Gm20752";"Gm20752"
"Depdc1a";"Depdc1a"
"Wls";"Wls"
"Tmem68";"Tmem68"
"Tgs1";"Tgs1"
"2210414B05Rik";"2210414B05Rik"
"Lyn";"Lyn"
"Rps20";"Rps20"
"Plag1";"Plag1"
"Chchd7";"Chchd7"
"Gm11808";"Gm11808"
"Impad1";"Impad1"
"Fam110b";"Fam110b"
"Ubxn2b";"Ubxn2b"
"4930430E12Rik";"4930430E12Rik"
"Sdcbp";"Sdcbp"
"Nsmaf";"Nsmaf"
"Car8";"Car8"
"Rab2a";"Rab2a"
"Chd7";"Chd7"
"Clvs1";"Clvs1"
"Asph";"Asph"
"4930412C18Rik";"4930412C18Rik"
"1700123O12Rik";"1700123O12Rik"
"2610301B20Rik";"2610301B20Rik"
"Plekhf2";"Plekhf2"
"Ndufaf6";"Ndufaf6"
"Gm11827";"Gm11827"
"Trp53inp1";"Trp53inp1"
"Ccne2";"Ccne2"
"Ints8";"Ints8"
"Dpy19l4";"Dpy19l4"
"Virma";"Virma"
"Gm11831";"Gm11831"
"Rad54b";"Rad54b"
"Fsbp";"Fsbp"
"Gem";"Gem"
"Pdp1";"Pdp1"
"1700123M08Rik";"1700123M08Rik"
"Tmem67";"Tmem67"
"Rbm12b2";"Rbm12b2"
"Rbm12b1";"Rbm12b1"
"Fam92a";"Fam92a"
"Triqk";"Triqk"
"Runx1t1";"Runx1t1"
"Gm11823";"Gm11823"
"1700120G11Rik";"1700120G11Rik"
"Slc26a7";"Slc26a7"
"Lrrc69";"Lrrc69"
"Otud6b";"Otud6b"
"Pip4p2";"Pip4p2"
"Gm11837";"Gm11837"
"Necab1";"Necab1"
"Tmem64";"Tmem64"
"Decr1";"Decr1"
"Nbn";"Nbn"
"Osgin2";"Osgin2"
"Ripk2";"Ripk2"
"A530072M11Rik";"A530072M11Rik"
"Gm11851";"Gm11851"
"Mmp16";"Mmp16"
"Gm11867";"Gm11867"
"Cnbd1";"Cnbd1"
"Cngb3";"Cngb3"
"Cpne3";"Cpne3"
"Rmdn1";"Rmdn1"
"Gm12353";"Gm12353"
"Wwp1";"Wwp1"
"Slc7a13";"Slc7a13"
"Atp6v0d2";"Atp6v0d2"
"Ggh";"Ggh"
"Nkain3";"Nkain3"
"Ccnc";"Ccnc"
"Tstd3";"Tstd3"
"Usp45";"Usp45"
"Pnisr";"Pnisr"
"Coq3";"Coq3"
"Faxc";"Faxc"
"Fbxl4";"Fbxl4"
"Mms22l";"Mms22l"
"Klhl32";"Klhl32"
"Ndufaf4";"Ndufaf4"
"Gm11906";"Gm11906"
"Fhl5";"Fhl5"
"Ufl1";"Ufl1"
"Manea";"Manea"
"Epha7";"Epha7"
"4930556G01Rik";"4930556G01Rik"
"Map3k7";"Map3k7"
"Bach2";"Bach2"
"Bach2it1";"Bach2it1"
"Bach2os";"Bach2os"
"Casp8ap2";"Casp8ap2"
"Mdn1";"Mdn1"
"Lyrm2";"Lyrm2"
"Ankrd6";"Ankrd6"
"Rragd";"Rragd"
"4933421O10Rik";"4933421O10Rik"
"Ube2j1";"Ube2j1"
"Gabrr2";"Gabrr2"
"Pnrc1";"Pnrc1"
"Rngtt";"Rngtt"
"Spaca1";"Spaca1"
"Akirin2";"Akirin2"
"Orc3";"Orc3"
"Rars2";"Rars2"
"Slc35a1";"Slc35a1"
"Cfap206";"Cfap206"
"Smim8";"Smim8"
"Zfp292";"Zfp292"
"Mob3b";"Mob3b"
"C9orf72";"C9orf72"
"Gm12367";"Gm12367"
"Lingo2";"Lingo2"
"Gm12381";"Gm12381"
"Aco1";"Aco1"
"Ddx58";"Ddx58"
"Topors";"Topors"
"Smim27";"Smim27"
"Ndufb6";"Ndufb6"
"Aptx";"Aptx"
"Dnaja1";"Dnaja1"
"Smu1";"Smu1"
"B4galt1";"B4galt1"
"Bag1";"Bag1"
"Chmp5";"Chmp5"
"Nfx1";"Nfx1"
"Nol6";"Nol6"
"Ube2r2";"Ube2r2"
"Ubap2";"Ubap2"
"Dcaf12";"Dcaf12"
"Ubap1";"Ubap1"
"Kif24";"Kif24"
"Nudt2";"Nudt2"
"Myorg";"Myorg"
"1110017D15Rik";"1110017D15Rik"
"Fam219a";"Fam219a"
"Gm12404";"Gm12404"
"Dnaic1";"Dnaic1"
"Enho";"Enho"
"Il11ra1";"Il11ra1"
"Rpp25l";"Rpp25l"
"Dctn3";"Dctn3"
"Sigmar1";"Sigmar1"
"Galt";"Galt"
"Ccl27a";"Ccl27a"
"Phf24";"Phf24"
"Dnajb5";"Dnajb5"
"1700022I11Rik";"1700022I11Rik"
"Vcp";"Vcp"
"Fancg";"Fancg"
"Pigo";"Pigo"
"Stoml2";"Stoml2"
"Fam214b";"Fam214b"
"Gm26881";"Gm26881"
"Unc13b";"Unc13b"
"Atp8b5";"Atp8b5"
"Rusc2";"Rusc2"
"Tesk1";"Tesk1"
"Cd72";"Cd72"
"Rmrp";"Rmrp"
"Ccdc107";"Ccdc107"
"Arhgef39";"Arhgef39"
"Gm12454";"Gm12454"
"Car9";"Car9"
"Tpm2";"Tpm2"
"Tln1";"Tln1"
"Creb3";"Creb3"
"Gba2";"Gba2"
"Rgp1";"Rgp1"
"Gm12472";"Gm12472"
"Npr2";"Npr2"
"Spag8";"Spag8"
"Hint2";"Hint2"
"Fam221b";"Fam221b"
"Tmem8b";"Tmem8b"
"Hrct1";"Hrct1"
"Reck";"Reck"
"Glipr2";"Glipr2"
"Clta";"Clta"
"Gne";"Gne"
"Rnf38";"Rnf38"
"Melk";"Melk"
"Zcchc7";"Zcchc7"
"Gm12679";"Gm12679"
"Grhpr";"Grhpr"
"Zbtb5";"Zbtb5"
"1700055D18Rik";"1700055D18Rik"
"Polr1e";"Polr1e"
"Fbxo10";"Fbxo10"
"Tomm5";"Tomm5"
"Trmt10b";"Trmt10b"
"Exosc3";"Exosc3"
"Dcaf10";"Dcaf10"
"Slc25a51";"Slc25a51"
"Shb";"Shb"
"Gm12409";"Gm12409"
"Aldh1b1";"Aldh1b1"
"Stra6l";"Stra6l"
"Tdrd7";"Tdrd7"
"Tmod1";"Tmod1"
"Tstd2";"Tstd2"
"Ncbp1";"Ncbp1"
"Xpa";"Xpa"
"Trmo";"Trmo"
"Anp32b";"Anp32b"
"Nans";"Nans"
"Trim14";"Trim14"
"Gm16731";"Gm16731"
"Coro2a";"Coro2a"
"Tbc1d2";"Tbc1d2"
"Gabbr2";"Gabbr2"
"Gm568";"Gm568"
"Anks6";"Anks6"
"Galnt12";"Galnt12"
"Col15a1";"Col15a1"
"Tgfbr1";"Tgfbr1"
"Alg2";"Alg2"
"Sec61b";"Sec61b"
"Nr4a3";"Nr4a3"
"Stx17";"Stx17"
"Erp44";"Erp44"
"Invs";"Invs"
"Tex10";"Tex10"
"Msantd3";"Msantd3"
"Tmeff1";"Tmeff1"
"Plppr1";"Plppr1"
"Baat";"Baat"
"Mrpl50";"Mrpl50"
"Zfp189";"Zfp189"
"Tmem246";"Tmem246"
"Rnf20";"Rnf20"
"Grin3a";"Grin3a"
"C630028M04Rik";"C630028M04Rik"
"Smc2os";"Smc2os"
"Smc2";"Smc2"
"Olfr270";"Olfr270"
"Nipsnap3b";"Nipsnap3b"
"Abca1";"Abca1"
"AI427809";"AI427809"
"Slc44a1";"Slc44a1"
"Fsd1l";"Fsd1l"
"Fktn";"Fktn"
"Tmem38b";"Tmem38b"
"Gm12484";"Gm12484"
"Gm12478";"Gm12478"
"Zfp462";"Zfp462"
"Rad23b";"Rad23b"
"Klf4";"Klf4"
"Gm12511";"Gm12511"
"Elp1";"Elp1"
"Abitram";"Abitram"
"Ctnnal1";"Ctnnal1"
"Tmem245";"Tmem245"
"Ptpn3";"Ptpn3"
"Pakap";"Pakap"
"Pakap.1";"Pakap.1"
"Txn1";"Txn1"
"Svep1";"Svep1"
"Lpar1";"Lpar1"
"Olfr267";"Olfr267"
"Ecpas";"Ecpas"
"Ptgr1";"Ptgr1"
"Dnajc25";"Dnajc25"
"Gng10";"Gng10"
"Shoc1";"Shoc1"
"Ugcg";"Ugcg"
"Susd1";"Susd1"
"Ptbp3";"Ptbp3"
"Hsdl2";"Hsdl2"
"E130308A19Rik";"E130308A19Rik"
"Inip";"Inip"
"Snx30";"Snx30"
"Gm12542";"Gm12542"
"Slc46a2";"Slc46a2"
"Mup6";"Mup6"
"Zfp37";"Zfp37"
"Slc31a2";"Slc31a2"
"Fkbp15";"Fkbp15"
"Slc31a1";"Slc31a1"
"Cdc26";"Cdc26"
"Prpf4";"Prpf4"
"Wdr31";"Wdr31"
"Bspry";"Bspry"
"Hdhd3";"Hdhd3"
"Alad";"Alad"
"Pole3";"Pole3"
"4933430I17Rik";"4933430I17Rik"
"Rgs3";"Rgs3"
"Gm11210";"Gm11210"
"Zfp618";"Zfp618"
"Col27a1";"Col27a1"
"Orm2";"Orm2"
"Akna";"Akna"
"Aknaos";"Aknaos"
"Whrn";"Whrn"
"Atp6v1g1";"Atp6v1g1"
"Tmem268";"Tmem268"
"Tnfsf15";"Tnfsf15"
"Tnfsf8";"Tnfsf8"
"Tnc";"Tnc"
"Astn2";"Astn2"
"Trim32";"Trim32"
"Tlr4";"Tlr4"
"Gm11751";"Gm11751"
"Brinp1";"Brinp1"
"Cdk5rap2";"Cdk5rap2"
"Megf9";"Megf9"
"Tle1";"Tle1"
"Gm11250";"Gm11250"
"C630043F03Rik";"C630043F03Rik"
"Frmd3";"Frmd3"
"Kdm4c";"Kdm4c"
"A230083N12Rik";"A230083N12Rik"
"Dmac1";"Dmac1"
"Ptprd";"Ptprd"
"Gm11261";"Gm11261"
"Mpdz";"Mpdz"
"Nfib";"Nfib"
"Zdhhc21";"Zdhhc21"
"Frem1";"Frem1"
"Ttc39b";"Ttc39b"
"Snapc3";"Snapc3"
"Psip1";"Psip1"
"Ccdc171";"Ccdc171"
"Bnc2";"Bnc2"
"Cntln";"Cntln"
"Sh3gl2";"Sh3gl2"
"Adamtsl1";"Adamtsl1"
"Rraga";"Rraga"
"Haus6";"Haus6"
"Plin2";"Plin2"
"Dennd4c";"Dennd4c"
"Rps6";"Rps6"
"Acer2";"Acer2"
"Slc24a2";"Slc24a2"
"Mllt3";"Mllt3"
"Gm12631";"Gm12631"
"Focad";"Focad"
"Hacd4";"Hacd4"
"Klhl9";"Klhl9"
"Gm26566";"Gm26566"
"Gm13274";"Gm13274"
"Mtap";"Mtap"
"Cdkn2a";"Cdkn2a"
"Cdkn2b";"Cdkn2b"
"Gm12609";"Gm12609"
"Gm12610";"Gm12610"
"Tusc1";"Tusc1"
"Gm12649";"Gm12649"
"Gm12648";"Gm12648"
"Gm12655";"Gm12655"
"Caap1";"Caap1"
"Plaa";"Plaa"
"Ift74";"Ift74"
"Lrrc19";"Lrrc19"
"Tek";"Tek"
"Eqtn";"Eqtn"
"Mysm1";"Mysm1"
"Gm12703";"Gm12703"
"Jun";"Jun"
"Junos";"Junos"
"Gm12708";"Gm12708"
"Fggy";"Fggy"
"Hook1";"Hook1"
"Cyp2j13";"Cyp2j13"
"Cyp2j7";"Cyp2j7"
"Cyp2j11";"Cyp2j11"
"Cyp2j8";"Cyp2j8"
"Cyp2j6";"Cyp2j6"
"E130114P18Rik";"E130114P18Rik"
"Gm12676";"Gm12676"
"Nfia";"Nfia"
"0610025J13Rik";"0610025J13Rik"
"Tm2d1";"Tm2d1"
"Patj";"Patj"
"Kank4";"Kank4"
"Usp1";"Usp1"
"Dock7";"Dock7"
"Angptl3";"Angptl3"
"Gm12705";"Gm12705"
"Atg4c";"Atg4c"
"Gm12689";"Gm12689"
"Alg6";"Alg6"
"Itgb3bp";"Itgb3bp"
"Efcab7";"Efcab7"
"Pgm1";"Pgm1"
"Ror1";"Ror1"
"Ube2u";"Ube2u"
"Cachd1";"Cachd1"
"Raver2";"Raver2"
"Jak1";"Jak1"
"Gm12796";"Gm12796"
"E130102H24Rik";"E130102H24Rik"
"0610043K17Rik";"0610043K17Rik"
"Gm12798";"Gm12798"
"Ak4";"Ak4"
"Dnajc6";"Dnajc6"
"Leprot";"Leprot"
"Pde4b";"Pde4b"
"Sgip1";"Sgip1"
"Gm12709";"Gm12709"
"Wdr78";"Wdr78"
"Mier1";"Mier1"
"Slc35d1";"Slc35d1"
"Gm44037";"Gm44037"
"Oma1";"Oma1"
"Gm12718";"Gm12718"
"Dab1";"Dab1"
"Prkaa2";"Prkaa2"
"Plpp3";"Plpp3"
"Gm12724";"Gm12724"
"Usp24";"Usp24"
"Dhcr24";"Dhcr24"
"Lexm";"Lexm"
"Pars2";"Pars2"
"Ttc4";"Ttc4"
"Acot11";"Acot11"
"Ssbp3";"Ssbp3"
"Gm12786";"Gm12786"
"Mrpl37";"Mrpl37"
"Cyb5rl";"Cyb5rl"
"Gm12802";"Gm12802"
"Tceanc2";"Tceanc2"
"Tmem59";"Tmem59"
"Ldlrad1";"Ldlrad1"
"Lrrc42";"Lrrc42"
"Hspb11";"Hspb11"
"Yipf1";"Yipf1"
"Ndc1";"Ndc1"
"Glis1";"Glis1"
"Dmrtb1";"Dmrtb1"
"4933424M12Rik";"4933424M12Rik"
"Lrp8os3";"Lrp8os3"
"Lrp8";"Lrp8"
"Lrp8os2";"Lrp8os2"
"Magoh";"Magoh"
"Czib";"Czib"
"Cpt2";"Cpt2"
"Podn";"Podn"
"Scp2";"Scp2"
"Zyg11b";"Zyg11b"
"Coa7";"Coa7"
"Shisal2a";"Shisal2a"
"Gpx7";"Gpx7"
"Tut4";"Tut4"
"Gm12737";"Gm12737"
"Prpf38a";"Prpf38a"
"Orc1";"Orc1"
"Gm12743";"Gm12743"
"Cc2d1b";"Cc2d1b"
"Gm17354";"Gm17354"
"Zfyve9";"Zfyve9"
"3110021N24Rik";"3110021N24Rik"
"Btf3l4";"Btf3l4"
"Txndc12";"Txndc12"
"Kti12";"Kti12"
"Rab3b";"Rab3b"
"Nrd1";"Nrd1"
"Osbpl9";"Osbpl9"
"Calr4";"Calr4"
"Eps15";"Eps15"
"Ttc39a";"Ttc39a"
"Rnf11";"Rnf11"
"Gm12811";"Gm12811"
"9630013D21Rik";"9630013D21Rik"
"Cdkn2c";"Cdkn2c"
"Faf1";"Faf1"
"Dmrta2";"Dmrta2"
"Elavl4";"Elavl4"
"Agbl4";"Agbl4"
"Bend5";"Bend5"
"Spata6";"Spata6"
"Skint3";"Skint3"
"Skint2";"Skint2"
"Skint6";"Skint6"
"Gm12823";"Gm12823"
"Skint5";"Skint5"
"Skint11";"Skint11"
"Trabd2b";"Trabd2b"
"Gm12830";"Gm12830"
"Foxd2";"Foxd2"
"Foxd2os";"Foxd2os"
"Cmpk1";"Cmpk1"
"Stil";"Stil"
"Tal1";"Tal1"
"Pdzk1ip1";"Pdzk1ip1"
"Cyp4x1";"Cyp4x1"
"Efcab14";"Efcab14"
"Atpaf1";"Atpaf1"
"Mob3c";"Mob3c"
"Mknk1";"Mknk1"
"Kncn";"Kncn"
"Nsun4";"Nsun4"
"Uqcrh";"Uqcrh"
"Lrrc41";"Lrrc41"
"Rad54l";"Rad54l"
"Pomgnt1";"Pomgnt1"
"Lurap1";"Lurap1"
"Pik3r3";"Pik3r3"
"Mast2";"Mast2"
"Ipp";"Ipp"
"Tmem69";"Tmem69"
"Gm12953";"Gm12953"
"Gpbp1l1";"Gpbp1l1"
"C530005A16Rik";"C530005A16Rik"
"Ccdc17";"Ccdc17"
"Nasp";"Nasp"
"Akr1a1";"Akr1a1"
"Prdx1";"Prdx1"
"Mmachc";"Mmachc"
"Ccdc163";"Ccdc163"
"Tesk2";"Tesk2"
"Toe1";"Toe1"
"Mutyh";"Mutyh"
"Gm12996";"Gm12996"
"Zswim5";"Zswim5"
"Urod";"Urod"
"Hectd3";"Hectd3"
"Eif2b3";"Eif2b3"
"Ptch2";"Ptch2"
"Btbd19";"Btbd19"
"Tctex1d4";"Tctex1d4"
"Plk3";"Plk3"
"Rps8";"Rps8"
"Kif2c";"Kif2c"
"Armh1";"Armh1"
"Tmem53";"Tmem53"
"Rnf220";"Rnf220"
"Gm12843";"Gm12843"
"Eri3";"Eri3"
"Dmap1";"Dmap1"
"Gm12840";"Gm12840"
"Slc6a9";"Slc6a9"
"Gm17114";"Gm17114"
"Ccdc24";"Ccdc24"
"B4galt2";"B4galt2"
"Gm12841";"Gm12841"
"Atp6v0b";"Atp6v0b"
"Dph2";"Dph2"
"Ipo13";"Ipo13"
"St3gal3";"St3gal3"
"9530034E10Rik";"9530034E10Rik"
"Kdm4a";"Kdm4a"
"Ptprf";"Ptprf"
"Szt2";"Szt2"
"Med8";"Med8"
"Elovl1";"Elovl1"
"Cdc20";"Cdc20"
"Mpl";"Mpl"
"Cfap57";"Cfap57"
"Ebna1bp2";"Ebna1bp2"
"Olfr1331";"Olfr1331"
"Olfr1330";"Olfr1330"
"Olfr1328";"Olfr1328"
"Gm12863";"Gm12863"
"Lao1";"Lao1"
"Gm12861";"Gm12861"
"Gm12865";"Gm12865"
"Slc2a1";"Slc2a1"
"Zfp691";"Zfp691"
"Ermap";"Ermap"
"Svbp";"Svbp"
"AU022252";"AU022252"
"Gm12898";"Gm12898"
"P3h1";"P3h1"
"Ybx1";"Ybx1"
"Ppih";"Ppih"
"Ccdc30";"Ccdc30"
"Ppcs";"Ppcs"
"Zmynd12";"Zmynd12"
"Frg2f1";"Frg2f1"
"Foxj3";"Foxj3"
"Hivep3";"Hivep3"
"Scmh1";"Scmh1"
"Ctps";"Ctps"
"Gm8439";"Gm8439"
"Gm12860";"Gm12860"
"Cited4";"Cited4"
"Nfyc";"Nfyc"
"Rims3";"Rims3"
"Exo5";"Exo5"
"Zfp69";"Zfp69"
"Smap2";"Smap2"
"Col9a2";"Col9a2"
"Zmpste24";"Zmpste24"
"Rlf";"Rlf"
"Ppt1";"Ppt1"
"Cap1";"Cap1"
"Mfsd2a";"Mfsd2a"
"Mycl";"Mycl"
"Trit1";"Trit1"
"Bmp8b";"Bmp8b"
"Ppie";"Ppie"
"Pabpc4";"Pabpc4"
"Macf1";"Macf1"
"Gm12925";"Gm12925"
"Ndufs5";"Ndufs5"
"Akirin1";"Akirin1"
"Mycbp";"Mycbp"
"Gm12905";"Gm12905"
"Rragc";"Rragc"
"Gm2164";"Gm2164"
"Pou3f1";"Pou3f1"
"Utp11";"Utp11"
"Fhl3";"Fhl3"
"Sf3a3";"Sf3a3"
"Gm12915";"Gm12915"
"Inpp5b";"Inpp5b"
"Mtf1";"Mtf1"
"1110065P20Rik";"1110065P20Rik"
"Yrdc";"Yrdc"
"Maneal";"Maneal"
"Epha10";"Epha10"
"Cdca8";"Cdca8"
"9930104L06Rik";"9930104L06Rik"
"Gm12930";"Gm12930"
"Rspo1";"Rspo1"
"Gnl2";"Gnl2"
"Dnali1";"Dnali1"
"Snip1";"Snip1"
"Gm12932";"Gm12932"
"Meaf6";"Meaf6"
"Zc3h12a";"Zc3h12a"
"Grik3";"Grik3"
"Csf3r";"Csf3r"
"Mrps15";"Mrps15"
"Oscp1";"Oscp1"
"Lsm10";"Lsm10"
"Stk40";"Stk40"
"Eva1b";"Eva1b"
"Sh3d21";"Sh3d21"
"Thrap3";"Thrap3"
"Map7d1";"Map7d1"
"Trappc3";"Trappc3"
"Adprhl2";"Adprhl2"
"Tekt2";"Tekt2"
"Ago3";"Ago3"
"Ago1";"Ago1"
"Ago4";"Ago4"
"Clspn";"Clspn"
"5730409E04Rik";"5730409E04Rik"
"Psmb2";"Psmb2"
"Ncdn";"Ncdn"
"AU040320";"AU040320"
"Zmym4";"Zmym4"
"Sfpq";"Sfpq"
"Gm12940";"Gm12940"
"Zmym1";"Zmym1"
"Zmym6";"Zmym6"
"Tmem35b";"Tmem35b"
"Dlgap3";"Dlgap3"
"Smim12";"Smim12"
"Csmd2";"Csmd2"
"Zscan20";"Zscan20"
"Tlr12";"Tlr12"
"Phc2";"Phc2"
"A3galt2";"A3galt2"
"Zfp362";"Zfp362"
"Trim62";"Trim62"
"Azin2";"Azin2"
"Ak2";"Ak2"
"1700086P04Rik";"1700086P04Rik"
"Rnf19b";"Rnf19b"
"Fndc5";"Fndc5"
"S100pbp";"S100pbp"
"Yars";"Yars"
"C77080";"C77080"
"Gm12976";"Gm12976"
"Sync";"Sync"
"Rbbp4";"Rbbp4"
"Zbtb8os";"Zbtb8os"
"Zbtb8a";"Zbtb8a"
"Bsdc1";"Bsdc1"
"Gm12979";"Gm12979"
"Marcksl1";"Marcksl1"
"Hdac1";"Hdac1"
"Lck";"Lck"
"Fam167b";"Fam167b"
"Eif3i";"Eif3i"
"Tmem234";"Tmem234"
"Dcdc2b";"Dcdc2b"
"Iqcc";"Iqcc"
"Ccdc28b";"Ccdc28b"
"Txlna";"Txlna"
"Kpna6";"Kpna6"
"Tmem39b";"Tmem39b"
"Khdrbs1";"Khdrbs1"
"Ptp4a2";"Ptp4a2"
"Spocd1";"Spocd1"
"Pef1";"Pef1"
"Tinagl1";"Tinagl1"
"Gm10570";"Gm10570"
"Fabp3";"Fabp3"
"Zcchc17";"Zcchc17"
"Snrnp40";"Snrnp40"
"Pum1";"Pum1"
"Gm12971";"Gm12971"
"Sdc3";"Sdc3"
"Gm26716";"Gm26716"
"Laptm5";"Laptm5"
"Matn1";"Matn1"
"Ptpru";"Ptpru"
"Mecr";"Mecr"
"Srsf4";"Srsf4"
"Gm12992";"Gm12992"
"Epb41";"Epb41"
"Gm13063";"Gm13063"
"Gm10300";"Gm10300"
"Ythdf2";"Ythdf2"
"Gmeb1";"Gmeb1"
"Gm28874";"Gm28874"
"Taf12";"Taf12"
"Rab42";"Rab42"
"Snhg12";"Snhg12"
"Trnau1ap";"Trnau1ap"
"Rcc1";"Rcc1"
"Snhg3";"Snhg3"
"Gm17300";"Gm17300"
"Phactr4";"Phactr4"
"Med18";"Med18"
"Sesn2";"Sesn2"
"Gm12981";"Gm12981"
"Atpif1";"Atpif1"
"Gm12999";"Gm12999"
"Dnajc8";"Dnajc8"
"Ptafr";"Ptafr"
"Eya3";"Eya3"
"Xkr8";"Xkr8"
"Smpdl3b";"Smpdl3b"
"Rpa2";"Rpa2"
"Themis2";"Themis2"
"Ppp1r8";"Ppp1r8"
"Stx12";"Stx12"
"Fam76a";"Fam76a"
"Fgr";"Fgr"
"Ahdc1";"Ahdc1"
"Wasf2";"Wasf2"
"Map3k6";"Map3k6"
"Sytl1";"Sytl1"
"Tmem222";"Tmem222"
"Wdtc1";"Wdtc1"
"Slc9a1";"Slc9a1"
"Tent5b";"Tent5b"
"Trnp1";"Trnp1"
"Kdf1";"Kdf1"
"Nudc";"Nudc"
"Nr0b2";"Nr0b2"
"Gpatch3";"Gpatch3"
"Gpn2";"Gpn2"
"Sfn";"Sfn"
"Zdhhc18";"Zdhhc18"
"Pigv";"Pigv"
"Arid1a";"Arid1a"
"Gm12974";"Gm12974"
"Rps6ka1";"Rps6ka1"
"Gm12977";"Gm12977"
"Hmgn2";"Hmgn2"
"Dhdds";"Dhdds"
"Cd52";"Cd52"
"Ubxn11";"Ubxn11"
"Sh3bgrl3";"Sh3bgrl3"
"Cep85";"Cep85"
"Zfp593";"Zfp593"
"Grrp1";"Grrp1"
"Pdik1l";"Pdik1l"
"Extl1";"Extl1"
"Pafah2";"Pafah2"
"Stmn1";"Stmn1"
"Paqr7";"Paqr7"
"Aunip";"Aunip"
"Mtfr1l";"Mtfr1l"
"Selenon";"Selenon"
"Man1c1";"Man1c1"
"Ldlrap1";"Ldlrap1"
"Maco1";"Maco1"
"Rhd";"Rhd"
"Tmem50a";"Tmem50a"
"Rsrp1";"Rsrp1"
"Syf2";"Syf2"
"Gm16225";"Gm16225"
"Runx3";"Runx3"
"Clic4";"Clic4"
"Srrm1";"Srrm1"
"Ncmap";"Ncmap"
"Rcan3";"Rcan3"
"Gm15979";"Gm15979"
"Nipal3";"Nipal3"
"Stpg1";"Stpg1"
"Grhl3";"Grhl3"
"Ifnlr1";"Ifnlr1"
"Srsf10";"Srsf10"
"Pnrc2";"Pnrc2"
"Cnr2";"Cnr2"
"Fuca1";"Fuca1"
"Hmgcl";"Hmgcl"
"Gale";"Gale"
"Lypla2";"Lypla2"
"Pithd1";"Pithd1"
"Eloa";"Eloa"
"Gm13008";"Gm13008"
"Gm24362";"Gm24362"
"Rpl11";"Rpl11"
"Id3";"Id3"
"E2f2";"E2f2"
"Asap3";"Asap3"
"Tcea3";"Tcea3"
"Zfp46";"Zfp46"
"Hnrnpr";"Hnrnpr"
"Gm27022";"Gm27022"
"Luzp1";"Luzp1"
"Kdm1a";"Kdm1a"
"Lactbl1";"Lactbl1"
"Ephb2";"Ephb2"
"C1qb";"C1qb"
"C1qc";"C1qc"
"C1qa";"C1qa"
"Zbtb40";"Zbtb40"
"Wnt4";"Wnt4"
"Cdc42";"Cdc42"
"2810405F17Rik";"2810405F17Rik"
"Hspg2";"Hspg2"
"Usp48";"Usp48"
"Rap1gap";"Rap1gap"
"Alpl";"Alpl"
"Ece1";"Ece1"
"Gm13012";"Gm13012"
"Eif4g3";"Eif4g3"
"1700095J12Rik";"1700095J12Rik"
"Hp1bp3";"Hp1bp3"
"Sh2d5";"Sh2d5"
"Kif17";"Kif17"
"Ddost";"Ddost"
