"";"genes"
"Nemp2";"Nemp2"
"Mfsd6";"Mfsd6"
"Inpp1";"Inpp1"
"Hibch";"Hibch"
"1700019D03Rik";"1700019D03Rik"
"1700019A02Rik";"1700019A02Rik"
"Pms1";"Pms1"
"Ormdl1";"Ormdl1"
"Osgepl1";"Osgepl1"
"Asnsd1";"Asnsd1"
"Dnah7a";"Dnah7a"
"Stk17b";"Stk17b"
"Hecw2";"Hecw2"
"Ccdc150";"Ccdc150"
"Gtf3c3";"Gtf3c3"
"Pgap1";"Pgap1"
"Ankrd44";"Ankrd44"
"4930444A19Rik";"4930444A19Rik"
"Sf3b1";"Sf3b1"
"Coq10b";"Coq10b"
"Hspd1";"Hspd1"
"Hspe1";"Hspe1"
"Mob4";"Mob4"
"Rftn2";"Rftn2"
"Gm10561";"Gm10561"
"Mars2";"Mars2"
"Boll";"Boll"
"Plcl1";"Plcl1"
"Satb2";"Satb2"
"9130024F11Rik";"9130024F11Rik"
"1700066M21Rik";"1700066M21Rik"
"Tyw5";"Tyw5"
"Maip1";"Maip1"
"Spats2l";"Spats2l"
"Kctd18";"Kctd18"
"Sgo2a";"Sgo2a"
"Aox2";"Aox2"
"Bzw1";"Bzw1"
"Clk1";"Clk1"
"Ppil3";"Ppil3"
"Nif3l1";"Nif3l1"
"Orc2";"Orc2"
"Gm15834";"Gm15834"
"Fam126b";"Fam126b"
"Ndufb3";"Ndufb3"
"Flacc1";"Flacc1"
"Cflar";"Cflar"
"Casp8";"Casp8"
"Trak2";"Trak2"
"Stradb";"Stradb"
"Gm29018";"Gm29018"
"Tmem237";"Tmem237"
"G730003C15Rik";"G730003C15Rik"
"Mpp4";"Mpp4"
"Gm29017";"Gm29017"
"Als2";"Als2"
"Cdk15";"Cdk15"
"Fzd7";"Fzd7"
"Gm973";"Gm973"
"Sumo1";"Sumo1"
"Nop58";"Nop58"
"Bmpr2";"Bmpr2"
"Fam117b";"Fam117b"
"Ica1l";"Ica1l"
"Wdr12";"Wdr12"
"Carf";"Carf"
"Nbeal1";"Nbeal1"
"Cyp20a1";"Cyp20a1"
"Abi2";"Abi2"
"Raph1";"Raph1"
"Cd28";"Cd28"
"2310016D23Rik";"2310016D23Rik"
"Ctla4";"Ctla4"
"Icos";"Icos"
"Pard3b";"Pard3b"
"Pard3bos1";"Pard3bos1"
"Pard3bos3";"Pard3bos3"
"Nrp2";"Nrp2"
"Ino80d";"Ino80d"
"Ino80dos";"Ino80dos"
"Gm20342";"Gm20342"
"Ndufs1";"Ndufs1"
"Eef1b2";"Eef1b2"
"Dytn";"Dytn"
"Fastkd2";"Fastkd2"
"Klf7";"Klf7"
"Gm13748";"Gm13748"
"Gm28981";"Gm28981"
"Creb1";"Creb1"
"Mettl21a";"Mettl21a"
"Gm28982";"Gm28982"
"2810408I11Rik";"2810408I11Rik"
"Ccnyl1";"Ccnyl1"
"Fzd5";"Fzd5"
"Plekhm3";"Plekhm3"
"D630023F18Rik";"D630023F18Rik"
"Idh1";"Idh1"
"Pikfyve";"Pikfyve"
"Pth2r";"Pth2r"
"Map2";"Map2"
"Unc80";"Unc80"
"Rpe";"Rpe"
"Kansl1l";"Kansl1l"
"Acadl";"Acadl"
"Lancl1";"Lancl1"
"Erbb4";"Erbb4"
"Gm29113";"Gm29113"
"Gm29114";"Gm29114"
"Ikzf2";"Ikzf2"
"Gm29112";"Gm29112"
"Gm28112";"Gm28112"
"Spag16";"Spag16"
"Vwc2l";"Vwc2l"
"Bard1";"Bard1"
"Atic";"Atic"
"Fn1";"Fn1"
"Mreg";"Mreg"
"Pecr";"Pecr"
"Tmem169";"Tmem169"
"Xrcc5";"Xrcc5"
"Smarcal1";"Smarcal1"
"Ankar";"Ankar"
"Rpl37a";"Rpl37a"
"Igfbp2";"Igfbp2"
"Igfbp5";"Igfbp5"
"1700027A15Rik";"1700027A15Rik"
"Tns1";"Tns1"
"Rufy4";"Rufy4"
"Cxcr2";"Cxcr2"
"Arpc2";"Arpc2"
"Aamp";"Aamp"
"Pnkd";"Pnkd"
"Tmbim1";"Tmbim1"
"Gm29358";"Gm29358"
"Catip";"Catip"
"Slc11a1";"Slc11a1"
"Ctdsp1";"Ctdsp1"
"Vil1";"Vil1"
"Usp37";"Usp37"
"Cnot9";"Cnot9"
"Plcd4";"Plcd4"
"Zfp142";"Zfp142"
"Bcs1l";"Bcs1l"
"Rnf25";"Rnf25"
"Stk36";"Stk36"
"Ttll4";"Ttll4"
"Cyp27a1";"Cyp27a1"
"Wnt6";"Wnt6"
"Nhej1";"Nhej1"
"Slc23a3";"Slc23a3"
"Cnppd1";"Cnppd1"
"Retreg2";"Retreg2"
"Zfand2b";"Zfand2b"
"Abcb6";"Abcb6"
"Atg9a";"Atg9a"
"Ankzf1";"Ankzf1"
"Glb1l";"Glb1l"
"Stk16";"Stk16"
"Tuba4a";"Tuba4a"
"Dnajb2";"Dnajb2"
"Ptprn";"Ptprn"
"Dnpep";"Dnpep"
"Speg";"Speg"
"Gmppa";"Gmppa"
"Chpf";"Chpf"
"Stk11ip";"Stk11ip"
"Slc4a3";"Slc4a3"
"Gm29069";"Gm29069"
"Epha4";"Epha4"
"Sgpp2";"Sgpp2"
"Farsb";"Farsb"
"5730419F03Rik";"5730419F03Rik"
"Acsl3";"Acsl3"
"Utp14b";"Utp14b"
"Gm29536";"Gm29536"
"Ap1s3";"Ap1s3"
"Wdfy1";"Wdfy1"
"Mrpl44";"Mrpl44"
"Serpine2";"Serpine2"
"Cul3";"Cul3"
"Dock10";"Dock10"
"Nyap2";"Nyap2"
"Irs1";"Irs1"
"Rhbdd1";"Rhbdd1"
"Gm28940";"Gm28940"
"Col4a4";"Col4a4"
"Col4a3";"Col4a3"
"C430014B12Rik";"C430014B12Rik"
"Mff";"Mff"
"Gm28941";"Gm28941"
"Agfg1";"Agfg1"
"A030005L19Rik";"A030005L19Rik"
"Sphkap";"Sphkap"
"4933436I20Rik";"4933436I20Rik"
"Pid1";"Pid1"
"Dner";"Dner"
"Trip12";"Trip12"
"Fbxo36";"Fbxo36"
"Slc16a14";"Slc16a14"
"C130026I21Rik";"C130026I21Rik"
"A530032D15Rik";"A530032D15Rik"
"Gm10553";"Gm10553"
"A530040E14Rik";"A530040E14Rik"
"Gm16028";"Gm16028"
"G530012D18Rik";"G530012D18Rik"
"Sp110";"Sp110"
"Gm16094";"Gm16094"
"Sp140";"Sp140"
"Gm10552";"Gm10552"
"Gm17017";"Gm17017"
"Sp100";"Sp100"
"A630001G21Rik";"A630001G21Rik"
"Cab39";"Cab39"
"Itm2c";"Itm2c"
"Gpr55";"Gpr55"
"2810459M11Rik";"2810459M11Rik"
"Psmd1";"Psmd1"
"Htr2b";"Htr2b"
"Armc9";"Armc9"
"Gm16341";"Gm16341"
"B3gnt7";"B3gnt7"
"Gm28626";"Gm28626"
"Ncl";"Ncl"
"C130036L24Rik";"C130036L24Rik"
"Nmur1";"Nmur1"
"Ptma";"Ptma"
"Pde6d";"Pde6d"
"Cops7b";"Cops7b"
"Dis3l2";"Dis3l2"
"Gm29055";"Gm29055"
"Gm28375";"Gm28375"
"Chrng";"Chrng"
"Eif4e2";"Eif4e2"
"Efhd1";"Efhd1"
"Gigyf2";"Gigyf2"
"Kcnj13";"Kcnj13"
"Ngef";"Ngef"
"Neu2";"Neu2"
"Inpp5d";"Inpp5d"
"Atg16l1";"Atg16l1"
"Sag";"Sag"
"Dgkd";"Dgkd"
"Gm19582";"Gm19582"
"Usp40";"Usp40"
"Gm20528";"Gm20528"
"Ugt1a7c";"Ugt1a7c"
"Ugt1a6b";"Ugt1a6b"
"Ugt1a6a";"Ugt1a6a"
"Ugt1a5";"Ugt1a5"
"Ugt1a2";"Ugt1a2"
"Dnajb3";"Dnajb3"
"Mroh2a";"Mroh2a"
"Hjurp";"Hjurp"
"Trpm8";"Trpm8"
"Glrp1";"Glrp1"
"Gm29336";"Gm29336"
"Arl4c";"Arl4c"
"Sh3bp4";"Sh3bp4"
"Agap1";"Agap1"
"Gm28499";"Gm28499"
"4933400F21Rik";"4933400F21Rik"
"Ackr3";"Ackr3"
"Cops8";"Cops8"
"Col6a3";"Col6a3"
"Mlph";"Mlph"
"Prlh";"Prlh"
"Lrrfip1";"Lrrfip1"
"Rbm44";"Rbm44"
"Ramp1";"Ramp1"
"Ube2f";"Ube2f"
"Scly";"Scly"
"Gm17090";"Gm17090"
"Ilkap";"Ilkap"
"Hes6";"Hes6"
"Per2";"Per2"
"Traf3ip1";"Traf3ip1"
"Asb1";"Asb1"
"Twist2";"Twist2"
"Hdac4";"Hdac4"
"Ndufa10";"Ndufa10"
"Cops9";"Cops9"
"Otos";"Otos"
"Gpc1";"Gpc1"
"Ankmy1";"Ankmy1"
"Dusp28";"Dusp28"
"5033417F24Rik";"5033417F24Rik"
"Rnpepl1";"Rnpepl1"
"9430060I03Rik";"9430060I03Rik"
"Capn10";"Capn10"
"Gpr35";"Gpr35"
"Kif1a";"Kif1a"
"Gm28086";"Gm28086"
"Sned1";"Sned1"
"Mterf4";"Mterf4"
"Gm28535";"Gm28535"
"Pask";"Pask"
"Ppp1r7";"Ppp1r7"
"Ano7";"Ano7"
"Hdlbp";"Hdlbp"
"Sept2";"Sept2"
"Farp2";"Farp2"
"Stk25";"Stk25"
"Bok";"Bok"
"Thap4";"Thap4"
"Gm10550";"Gm10550"
"Atg4b";"Atg4b"
"Dtymk";"Dtymk"
"Ing5";"Ing5"
"D2hgdh";"D2hgdh"
"Gal3st2b";"Gal3st2b"
"Gal3st2c";"Gal3st2c"
"Pdcd1";"Pdcd1"
"Fam174a";"Fam174a"
"St8sia4";"St8sia4"
"Gm28901";"Gm28901"
"D1Ertd622e";"D1Ertd622e"
"Ppip5k2";"Ppip5k2"
"Gin1";"Gin1"
"Pam";"Pam"
"B230216N24Rik";"B230216N24Rik"
"Gm7967";"Gm7967"
"Cntnap5b";"Cntnap5b"
"Gm28187";"Gm28187"
"Cdh20";"Cdh20"
"Rnf152";"Rnf152"
"Gm28403";"Gm28403"
"Pign";"Pign"
"Gm28404";"Gm28404"
"Relch";"Relch"
"Tnfrsf11a";"Tnfrsf11a"
"Gm7160";"Gm7160"
"Zcchc2";"Zcchc2"
"Gm20753";"Gm20753"
"Phlpp1";"Phlpp1"
"Bcl2";"Bcl2"
"D630008O14Rik";"D630008O14Rik"
"Kdsr";"Kdsr"
"Vps4b";"Vps4b"
"Serpinb12";"Serpinb12"
"Serpinb3b";"Serpinb3b"
"Serpinb7";"Serpinb7"
"Serpinb8";"Serpinb8"
"Cdh19";"Cdh19"
"Gm29088";"Gm29088"
"Dsel";"Dsel"
"9330185C12Rik";"9330185C12Rik"
"Cntnap5a";"Cntnap5a"
"Gm28363";"Gm28363"
"Tsn";"Tsn"
"Nifk";"Nifk"
"Clasp1";"Clasp1"
"2900060B14Rik";"2900060B14Rik"
"Tfcp2l1";"Tfcp2l1"
"Ralb";"Ralb"
"Gm27184";"Gm27184"
"Tmem185b";"Tmem185b"
"Epb41l5";"Epb41l5"
"Ptpn4";"Ptpn4"
"Tmem177";"Tmem177"
"Sctr";"Sctr"
"Tmem37";"Tmem37"
"Dbi";"Dbi"
"3110009E18Rik";"3110009E18Rik"
"Steap3";"Steap3"
"Insig2";"Insig2"
