"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"Pfkfb3";12283,1875512182;0,233448329369089;0,0972924603416851;0,000612081909279695;0,136631663045543
"Rbpj";2166,99569120807;0,212605812964002;0,0892026479969529;0,00061682280956724;0,136631663045543
"AU020206";6065,91420304398;0,297934451289337;0,128222785703919;0,000639923980607021;0,139304830674901
"Plpp7";126,017360159062;-0,448666479460557;0,203356073020436;0,000737573206272324;0,150203214554748
"Ajm1";922,18063600575;-0,201681983439655;0,0873505377300348;0,000723388941066231;0,150203214554748
"Gm22442";176,541418609069;-0,0150264976495688;0,036813109726452;0,000727648662348695;0,150203214554748
"Nlrc4";49,1134959215757;0,589203024890928;0,263092451947464;0,000708102033050781;0,150203214554748
"Ric3";467,382357734551;-0,461229923464377;0,213737502731363;0,000793288064746714;0,158985001674476
"Lrg1";44,5082580365096;-0,0055862427860446;0,032175147593184;0,000811129566473773;0,160020654785904
"Csf1";14302,6792295247;0,321288507290633;0,137219721377462;0,000838152156691398;0,160652330532536
"Wdfy3";7450,84918288382;0,215794326541061;0,0961148496620099;0,000852503258805633;0,160652330532536
"Ier3";1756,91859507093;0,49030943487864;0,224997655216153;0,000848538126972422;0,160652330532536
"Sdc4";870,01166379523;0,308004175483849;0,146491971790544;0,00102879954002396;0,188255405686123
"Htra3";497,61185196998;0,567571067317968;0,273578895665797;0,00102852136507164;0,188255405686123
"Capn2";283,381335316014;-0,277617523541313;0,133564484307845;0,00106896718927339;0,192811139025225
"Cd83";10422,2355637108;0,0277415416944935;0,0532597568089934;0,00108553971692844;0,19304259811181
"Cxcl2";238,513621075403;0,728676707023517;0,359814900378913;0,00112705483611741;0,197256509908487
"Pcdhga11";164,703402541352;0,421709521945601;0,20808784871321;0,00114048195971167;0,197256509908487
"Pigt";1401,28261860873;-0,165943754742844;0,0781625817045064;0,00122309046970847;0,203193950928146
"Macf1";36428,7020004199;0,285777617476194;0,140720406707545;0,00121582872892377;0,203193950928146
"Pml";816,852149258055;0,217723694717055;0,104619812472509;0,0011932574569765;0,203193950928146
"Egfl7";38,1843595234564;0,714324527521893;0,381754707624414;0,00146888174530577;0,22344699899073
"Nhs";31,7810455248518;-0,00677393850706259;0,0325017355822202;0,00145586224626226;0,22344699899073
"Pde4b";465,731568909266;0,256797896469654;0,131420431978323;0,00144080843134482;0,22344699899073
"Aff1";1976,50189967954;0,166030393384978;0,0807399950617914;0,00145035227176344;0,22344699899073
"Mki67";451,365215921656;0,666511346225381;0,350632649842395;0,00143791580080581;0,22344699899073
"Fat3";2041,32016782411;0,236826518359243;0,119992557469932;0,00146870641274373;0,22344699899073
"Vps13b";3029,57260679217;0,221730030024233;0,110604630536699;0,00138356888828416;0,22344699899073
"Fam193a";1996,008252531;0,167447565401954;0,0823125584949845;0,00150997480365625;0,224293433776045
"Get1";396,382025531562;-0,244720421510606;0,127669006768622;0,00150876250210955;0,224293433776045
"Cep350";3169,9488943273;0,212633559728104;0,109905487029742;0,00161236450009426;0,224349047034469
"Ugt1a5";35,2752160294037;0,645994106712613;0,357395645563937;0,00165249971283111;0,224349047034469
"Arl5b";645,339183759069;0,288981772914836;0,152423222638736;0,0015607952188591;0,224349047034469
"Bod1l";1810,22079002755;0,230447345538785;0,120799687217574;0,00163274814145555;0,224349047034469
"Mthfs";440,56234459712;0,340852960839939;0,184244278946107;0,00163215008098194;0,224349047034469
"Malt1";1185,19786618745;0,262301340050263;0,13761882475772;0,00160776946000233;0,224349047034469
"Ms4a14";47,2233173975198;0,801311623108428;0,438021561109966;0,00159713591348092;0,224349047034469
"Ldb1";3172,92065564897;-0,140676998476549;0,0689074504744324;0,0016431544681328;0,224349047034469
"Arl5c";535,033440467541;0,439169691147842;0,246721588414668;0,00178773341943724;0,235759189049111
"Nedd4l";680,224933555558;0,186397428888604;0,0977709500713368;0,00179256155145847;0,235759189049111
"Pcdhgb7";178,993802177562;0,337371184211421;0,18812852923905;0,00178754197961962;0,235759189049111
"X4930405O22Rik";71,2690375277775;0,571655244484912;0,327291967812729;0,00183049120449726;0,23826579327817
"Camp";122,59300552414;-0,00658253295843033;0,0324411155438015;0,00185100716690778;0,238477719279364
"Chd7";5524,95652426959;0,157039746768822;0,0812264901080652;0,00191865124640609;0,242513824354596
"Cdkn1a";1013,31019763802;0,376195909942707;0,215459925751611;0,00192074944047676;0,242513824354596
"Per1";3527,21919913257;0,241006656398184;0,135214429191021;0,00198436153106344;0,245670755594897
"Zkscan3";2055,83479276786;0,309815862683723;0,176044367615607;0,00198466791309041;0,245670755594897
"Zfp641";82,3252581931296;-0,439375194153369;0,263593611967332;0,00208668290528224;0,255790857884404
"Ubr4";7178,31129030748;0,220843735710662;0,120911146616642;0,00212783152072176;0,258248220109998
"Egr2";1364,50797361087;0,265369243351737;0,146235243820926;0,00214763686928163;0,258248220109998
"Kcnj9";247,473552006444;0,451747577878785;0,274730556630082;0,00219356397288716;0,261282440770502
"Arhgef12";2009,40235624584;0,17789694811769;0,0993238760364387;0,00226439581603051;0,26668510292065
"Pcdhga6";167,32524357249;0,401966927771255;0,247611326427946;0,00228116514457708;0,26668510292065
"Pibf1";426,865784201965;0,18709084043357;0,107986133784909;0,00239833769603614;0,277811116973875
"Gm15372";40,9803794875283;0,565641831771013;0,366102455727054;0,00246031391214678;0,278423501385469
"Gm24265";241,952698093446;-0,579338060817194;0,404984872412971;0,00249559839410202;0,278423501385469
"Pf4";173,935450083223;0,416073982082127;0,26825636272481;0,00251869423951328;0,278423501385469
"Gdpgp1";114,224367195782;-0,311158937381585;0,201206109989214;0,00255995003254311;0,278423501385469
"Arhgap10";81,6369552572328;0,400405797931259;0,262321659993997;0,00258003719801203;0,278423501385469
"Gm11653";159,902208956183;0,424473773342027;0,276439639128888;0,00255775498116113;0,278423501385469
"Lyst";4727,7228731124;0,258057752426317;0,15866434160029;0,00251510085273993;0,278423501385469
