"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rfx8",4.45883229894455e-10,7.7945062211265,0.024,0.001,8.07985000891742e-06
"A230001M10Rik",4.69785975114218e-08,7.63618790437837,0.024,0.001,0.000851299165504475
"9430065F17Rik",4.66878627193582e-18,7.02371915433014,0.071,0.002,8.4603076033749e-14
"Cd4",2.4178330949993e-07,6.88286616647252,0.024,0.001,0.00438135535144823
"Car12",9.31827824629777e-07,6.55368139476249,0.024,0.001,0.0168856520101162
"Dpysl5",1.7170478966142e-32,6.43949502333872,0.024,0,3.11146249345459e-28
"Adora2b",4.55248587552878e-22,6.13406250892548,0.024,0,8.2495596550457e-18
"Ankrd36",2.42941626243331e-07,5.95953082517626,0.024,0.001,0.0044023452091554
"Gm48657",4.58160394667126e-20,5.95397975293822,0.048,0.001,8.302324511763e-16
"Rtl10",2.65681895056069e-13,5.44632647207867,0.048,0.002,4.81442162031103e-09
"Xkrx",4.72287424872661e-08,5.39924925613143,0.024,0.001,0.000855832042611749
"Tnip3",4.48616734990568e-08,5.17893266593687,0.048,0.003,0.000812938385476409
"Adgrv1",4.77329117176006e-08,5.08755614222471,0.024,0.001,0.00086496809323464
"Bdh2",4.72287424872661e-08,5.04965763044946,0.024,0.001,0.000855832042611749
"Gm48693",9.39957873603292e-07,5.0258131582988,0.024,0.001,0.0170329766275653
"Vegfc",1.40043533661205e-11,4.81075435233347,0.024,0,2.5377288734747e-07
"Gm973",9.39957873603292e-07,4.49436869412271,0.024,0.001,0.0170329766275653
"Zfp292",1.16910215743594e-07,-3.98777380488331,0.071,0.497,0.00211853001948967
"Mllt10",2.48288403480482e-07,-3.98179323623799,0.095,0.498,0.00449923415946981
"Pvt1",3.57224179185512e-07,-3.83714192969795,0.095,0.49,0.00647325935102066
"Myo9a",1.43165293735283e-06,-3.73013746492777,0.095,0.475,0.0259429828777707
"Lgals1",7.47706286470435e-07,3.71779722944394,0.262,0.076,0.0135491856171308
"Fam193a",2.71963614856923e-06,-3.56108577092854,0.071,0.451,0.049282526648223
"Phf20l1",2.33014208647861e-06,-3.45738591541767,0.071,0.454,0.0422245047490788
"Arhgap24",1.48914804550756e-06,-3.23522969734486,0.167,0.507,0.0269848517326426
"Fbxl17",1.15157675520198e-07,-3.17652960067839,0.214,0.579,0.00208677223810151
"4933406I18Rik",1.44451022752237e-06,-3.05880027692085,0.238,0.558,0.0261759698329329
"Magi1",2.33303072185761e-06,-2.95450151200483,0.262,0.564,0.0422768497107818
"Large1",4.54443113786009e-07,-2.95143120536506,0.357,0.608,0.00823496366491627
"Zbtb20",1.8327300489173e-08,-2.8800027027418,0.429,0.667,0.000332109012164304
"Klf12",2.43654747286262e-06,-2.81700358985204,0.214,0.549,0.0441526767557435
"Chn2",2.80532230360342e-07,-2.79476935290579,0.286,0.599,0.00508352454635976
"Nav2",1.09075348733112e-11,-2.76674131456389,0.643,0.781,1.97655439439272e-07
"Gab2",1.51647783300899e-08,-2.75826747502364,0.548,0.688,0.000274800948119559
"Fgf13",1.92362672547702e-06,-2.75168901067985,0.667,0.671,0.034858039892369
"Mir99ahg",2.02591841580252e-10,-2.7118450447936,0.595,0.75,3.67116676127575e-06
"Plcl2",1.2172617145277e-06,-2.70180635952672,0.381,0.627,0.0220579995289564
"Lrmda",6.25806074854774e-13,-2.69670051310359,0.69,0.808,1.13402318824434e-08
"Tmcc3",1.0671432701735e-10,-2.68508980308684,0.571,0.738,1.93377031988139e-06
"Pag1",5.33991499911706e-09,-2.62172610362324,0.524,0.699,9.67645996990003e-05
"Malat1",1.2478835932743e-27,-2.58626933480611,1,0.999,2.26128985937235e-23
"Plcl1",8.97295812890588e-10,-2.58172387271213,0.476,0.732,1.62598974253903e-05
"Ldlrad4",1.06145906842751e-10,-2.56657177289093,0.548,0.752,1.9234699778975e-06
"Csmd3",1.64717082302545e-15,-2.55593188808605,0.905,0.888,2.98483824840442e-11
"Tbc1d5",1.17147040849834e-07,-2.55400492492783,0.381,0.649,0.00212282152723984
"Maml3",5.47639713199813e-08,-2.47482772847314,0.643,0.714,0.000992377924289382
"Slc8a1",3.92818978915617e-13,-2.46855455065571,0.738,0.825,7.1182727169299e-09
"Numb",1.60921634702231e-07,-2.41493036208292,0.548,0.691,0.00291606094243913
"Ssh2",5.7445538100026e-08,-2.40741553908444,0.619,0.717,0.00104097059591057
"Lrch1",1.93211433957625e-06,-2.39755586827138,0.286,0.595,0.0350118439474612
